get_help_by_email,how_to_apply_or_enroll_online,program_name,get_help_in_person,heads_up,page_type,apply_online_call_to_action
,,Access-A-Ride,,"<ul>     <li>The price is the same as full fare on public transportation     </li>     <li>AAR may take up to 21 days to process your application after your in-person assessment     </li>     <li>A subscription service is available if you travel to the same places at the same time of day at least once each week     </li>     <li>Some customers require the assistance of a personal care attendant (PCA) who <a href=""http://web.mta.info/nyct/paratran/guide.htm#attendan"" target=""_blank"">performs personal duties</a> that drivers are not allowed to do during travel. Personal care attendants ride for free     </li>     <li>Some AAR customers may request an AAR MetroCard that can be used for four free public transportation rides a day on public buses and trains     </li> </ul>",Program,
,"<ol>     <li>Apply to <a href=""https://application.nycsyep.com/"" target=""_blank"">SYEP online</a> during the application period (February - March). The application for SYEP will only be available during that time.     </li>     <li>Participants are selected by lottery for the program.     </li> </ol>",Summer Youth Employment Program,,<ul>     <li>Apply between February and March each year     </li>     <li>Selection is based on a lottery     </li>     <li>Apply online or at a community-based organization during the application period<br>     </li>     <li>Work is available for youth with disabilities     </li> </ul>,Program,Apply online
,,After School and Saturday Meals,,,Program,
,"<p>     If you, or someone you know needs help, you can use the online referral system. All referrals will be processed the next business day, APS is not open on weekends. </p> <p>     You can also submit a referral by <a href=""mailto:APSrefer.nyc.gov"">emailing APS</a>.<br> </p>",Adult Protective Services,,"<ul>     <li>New Yorkers over 18 can get help regardless their income     </li>     <li>Referrals can be made online, by email, or by phone (Monday - Friday, 9:00 a.m - 5:00 p.m)     </li>     <li>Referrals received after 5:00pm or during the weekend will be processed the next business day     </li>     <li>Call 911 if there is an emergency or life threatening situation and a person needs immediate help     </li> </ul>",Service,Refer someone online
,"<p>     If you're already receiving Cash Assistance, you can complete an online recertification application. </p>",Cash Assistance,"<p>     <strong>Visit an HRA Job Center</strong> </p> <p>     Find an <a href=""https://access.nyc.gov/locations/?programs=6859"" target=""_blank"">HRA Job Center</a> near you. </p>","<ul>     <li>Requires proof of identity, where you live, income, and citizenship status.     </li>     <li>You must be a US citizen or have satisfactory immigration status to receive Cash Assistance; a worker will help you learn your status when you apply     </li>     <li>If you are able to work, you will either need to be working, in an education or training program, or participate in a program assigned to you in order to get Cash Assistance     </li>     <li>You can get money for emergencies, including: eviction, energy and utility bills, natural disasters, and your safety or health     </li>     <li>Apply in person, or have an interview at home if you are homebound     </li> </ul>",Benefit,Recertify online
,,EarlyLearn NYC Child Care,"<p>     <strong>Visit a center</strong> </p> <p>     Visit an <a href=""https://access.nyc.gov/locations/?programs=6866"" target=""_blank"">EarlyLearn center near</a> you for help in person. </p>","<ul>     <li>If you are receiving Cash Assistance and in an HRA-approved work, education, or training activity you are probably eligible     </li>     <li>Services are available for children with special needs     </li>     <li>Child care options are also available through the EarlyLearn Head Start program (for three and four year olds) and private programs     </li> </ul>",Service,
"<p>     <strong>Email SCHE</strong> </p> <p>     If you have questions, <a href=""http://www1.nyc.gov/site/finance/about/contact-by-email/contact-exemptions-inquiries.page"" target=""_blank"">email SCHE</a> for more information.<br> </p>",,Senior Citizen Homeowners' Exemption,,"<ul>     <li>Applications must be postmarked by March 15th for benefits to begin on July 1st each year     </li>     <li>Requires proof of age, income, and tax deduction     </li>     <li>If your property qualifies for SCHE and the Disabled Homeowners Exemption (DHE), you will only be granted SCHE; you cannot get both     </li>     <li>All owners must be 65 years of age or older, unless the property is owned by spouse or sibling, who doesn't need to meet this age requirement     </li>     <li>         <a href=""http://webapps.nyc.gov:8084/CICS/fin1/find001I"" target=""_blank"">Determine the borough, block, and lot (BBL)</a> for your property     </li> </ul>",Program,
"<p>     <strong>Email your questions</strong> </p> <p>     <a href=""mailto:MSEnrollment.nyc.gov"">Email the Middle School Admissions team</a> with questions about applying. </p>",,Middle School,"<p>     <strong>Visit a Family Welcome Center</strong> </p> <p>     Visit a <a href=""https://www.schools.nyc.gov/enrollment/enrollment-help/family-welcome-centers"" target=""_blank"">Family Welcome Center</a> to get help in person. </p>","<ul>     <li>Students with disabilities follow the same admission process as all other students     </li>     <li>English Language Learners (ELL) also follow the same admission process as other students; they can also consider applying to programs that screen for language where they might get priority     </li>     <li>All student who are eligible for middle school should submit an application, even students planning on attending their zoned school or continuing in K-8 schools     </li>     <li>Students eligible for middle school will receive a personalized application that includes each middle school program they can apply to each November     </li> </ul>",Program,
,,Medicaid for Pregnant Women,,"<ul>     <li>If you're pregnant and uninsured, you may qualify to sign up for an insurance plan through the NY State of Health Marketplace, even if the enrollment period is closed     </li>     <li>Free coverage is available regardless of immigration status     </li>     <li>Extended access to family planning services is available to women who have Medicaid while pregnant but lose coverage after pregnancy     </li>     <li>Babies receive health care services for at least one year after birth     </li> </ul>",Program,
,<p>     The City can help you find a website where you can file your taxes for free.<br> </p>,Child and Dependent Care Tax Credit,"<p>     <strong>Visit a tax prep location</strong> </p> <p>     Visit a <a href=""https://access.nyc.gov/locations/?programs=6875"" target=""_blank"">tax prep location</a> to get help filing your taxes in person. </p>","<ul>     <li>File your taxes by April 17, 2018     </li>     <li>The tax credit equals 20-to-35 percent of what you spent on care for a child 12 and under     </li>     <li>If you qualify, the government mails your refund or deposits it into your bank account     </li>     <li>Single parents and custodial divorced parents can also qualify for this credit     </li> </ul>",Benefit,File online
"<p>     <strong>Email your questions</strong> </p> <p>     <a href=""mailto:NYCYLC.nyc.gov""><u>Email the Youth Leadership Council</u></a> if you have questions about this program. </p>",<p>     Apply on the YLC website. </p>,NYC Youth Leadership Councils,,<ul>     <li>Available to youth in high school and in high school equivalent (HSE) programs     </li>     <li>For youth ages 14 - 21     </li>     <li>No prior leadership experience is required     </li> </ul>,Program,Request an application
,,Outpatient Services,,"<p>     There are two major types of outpatient mental health for children: clinic treatment and day treatment. </p> <ul>     <li>Clinic treatment services include:<br>         <ul>             <li>Assessment (psychiatric, psychosocial)             </li>             <li>Individual, family, and group therapy             </li>             <li>Managing medicine             </li>             <li>Case management             </li>             <li>Referrals to doctors<br>                 <br>             </li>         </ul>     </li>     <li>Day treatment program services include:<br>         <ul>             <li>Special education in small classes             </li>             <li>Treatment plans             </li>             <li>Managing medicine             </li>             <li>Individual, family, and group therapy             </li>             <li>Emergency help             </li>             <li>Interpersonal skill development             </li>         </ul>     </li> </ul>",Resource,
,,Bridges to Health,,<ul>     <li>There are three waivers offered through B2H:         <ul>             <li>Children with serious emotional disturbances             </li>             <li>Children with developmental disabilities             </li>             <li>Medically fragile children             </li>         </ul>     </li>     <li>B2H services should be used as one part of the medical treatment that participating children receive     </li> </ul>,Program,
,,Living for the Young Family Through Education,,,Program,
"<p>     <strong>Email FPBP</strong> </p> <p>     <a href=""mailto:Medicaid.state.ny.us"">Email FPBP</a> if you have questions about applying. </p>",,Family Planning Benefit Program,"<p>     <strong>Visit a FPBP provider</strong> </p> <p>     Visit a <a href=""https://www.health.ny.gov/community/pregnancy/family_planning/program_sites.htm"" target=""_blank"">FPBP provider</a> to get help in person. </p>","<ul>     <li>When you visit a provider for family planning help, you can ask to keep the session private     </li>     <li>People who don\u2019t have insurance, have private insurance, or are enrolled in Child Health Plus can apply     </li>     <li>Financial resources (like bank statements) are not needed to determine eligibility     </li>     <li>People who have Medicaid are not eligible     </li>     <li>Undocumented immigrants and people on short-term visas who are not in the process of applying for permanent status are not eligible     </li> </ul>",Program,
